"","id_num","date","awards","math","physics","hpw","gender","imp","school+prog"
"27",56263,2019-01-20,0,0,0,0,"female",2,"Private/0"
"47",47181,2019-01-17,0,0,0,0,"female",1,"Private/1"
"116",97924,2019-02-03,0,0,0,0,"female",2,"Private/1"
"281",32940,2019-01-12,0,0,0,0,"female",1,"Private/2"
"409",89033,2019-01-31,0,0,0,0,"female",1,"Private/0"
"463",85747,2019-01-30,0,0,0,0,"female",1,"Private/2"
"488",80297,2019-01-28,0,0,0,0,"female",1,"Private/2"
"491",51268,2019-01-18,0,0,0,0,"female",1,"Private/1"
"513",20093,2019-01-07,0,0,0,0,"female",1,"Private/1"
"532",12830,2019-01-05,0,0,0,0,"female",1,"Private/0"
"553",55624,2019-01-20,0,0,0,0,"female",2,"Private/0"
"689",15245,2019-01-06,0,0,0,0,"female",2,"Private/0"
"717",8396,2019-01-03,0,0,0,0,"female",2,"Private/1"
"721",25847,2019-01-09,0,0,0,0,"female",2,"Private/1"
"773",99009,2019-02-03,0,0,0,0,"female",2,"Private/2"
"777",88099,2019-01-31,0,0,0,0,"female",2,"Private/1"
"861",58083,2019-01-20,0,0,0,0,"female",2,"Private/1"
"876",40741,2019-01-14,0,0,0,0,"female",1,"Private/3"
"891",38239,2019-01-14,0,0,0,0,"female",2,"Private/1"
"894",79996,2019-01-28,0,0,0,0,"female",1,"Private/1"
"899",37955,2019-01-14,0,0,0,0,"female",1,"Private/2"
"915",87551,2019-01-31,0,0,0,0,"female",2,"Private/0"
"960",1546,2019-01-01,0,0,0,0,"female",2,"Private/1"
"977",89795,2019-01-31,0,0,0,0,"female",1,"Private/0"
"1021",55675,2019-01-20,0,0,0,0,"female",2,"Private/0"
"1072",70870,2019-01-25,0,0,0,0,"female",1,"Private/1"
"1078",52570,2019-01-19,0,0,0,0,"female",2,"Private/0"
"1097",93036,2019-02-01,0,0,0,0,"female",1,"Private/1"
"1113",57248,2019-01-20,0,0,0,0,"female",1,"Private/2"
"1157",15935,2019-01-06,0,0,0,0,"female",1,"Private/1"
"1189",34951,2019-01-13,0,0,0,0,"female",1,"Private/1"
"1220",92838,2019-02-01,0,0,0,0,"female",1,"Private/1"
"1234",59336,2019-01-21,0,0,0,0,"female",1,"Private/1"
"1281",16113,2019-01-06,0,0,0,0,"female",1,"Private/0"
"1300",74810,2019-01-26,0,0,0,0,"female",1,"Private/2"
"1311",37205,2019-01-13,0,0,0,0,"female",1,"Private/2"
"1385",61245,2019-01-22,0,0,0,0,"female",1,"Private/2"
"1393",36408,2019-01-13,0,0,0,0,"female",2,"Private/0"
"1426",53379,2019-01-19,0,0,0,0,"female",2,"Private/2"
"1431",1399,2019-01-01,0,0,0,0,"female",1,"Private/1"
"1458",62832,2019-01-22,0,0,0,0,"female",1,"Private/2"
"1481",78214,2019-01-27,0,0,0,0,"female",1,"Private/1"
"1511",9589,2019-01-04,0,0,0,0,"female",1,"Private/1"
"1542",46630,2019-01-17,0,0,0,0,"female",2,"Private/1"
"1597",66298,2019-01-23,0,0,0,0,"female",2,"Private/1"
"1627",79683,2019-01-28,0,0,0,0,"female",2,"Private/2"
"1683",77963,2019-01-27,0,0,0,0,"female",1,"Private/0"
"1697",63753,2019-01-23,0,0,0,0,"female",1,"Private/1"
"1707",34851,2019-01-13,0,0,0,0,"female",1,"Private/1"
"1740",66508,2019-01-24,0,0,0,0,"female",2,"Private/1"
"1797",66963,2019-01-24,0,0,0,0,"female",1,"Private/1"
"1867",31277,2019-01-11,0,0,0,0,"female",2,"Private/2"
"1898",37471,2019-01-13,0,0,0,0,"female",1,"Private/1"
"1916",15918,2019-01-06,0,0,0,0,"female",2,"Private/1"
"1919",48375,2019-01-17,0,0,0,0,"female",2,"Private/0"
"1925",75778,2019-01-27,0,0,0,0,"female",2,"Private/0"
"1935",89020,2019-01-31,0,0,0,0,"female",2,"Private/1"
"1949",15457,2019-01-06,0,0,0,0,"female",1,"Private/1"
"1978",36271,2019-01-13,0,0,0,0,"female",2,"Private/1"
"2015",50340,2019-01-18,0,0,0,0,"female",1,"Private/1"
"2018",52619,2019-01-19,0,0,0,0,"female",1,"Private/2"
"2024",54336,2019-01-19,0,0,0,0,"female",1,"Private/0"
"2070",95620,2019-02-03,0,0,0,0,"female",1,"Private/1"
"2121",67207,2019-01-24,0,0,0,0,"female",2,"Private/0"
"2128",2679,2019-01-01,0,0,0,0,"female",2,"Private/1"
"2188",19210,2019-01-07,0,0,0,0,"female",2,"Private/1"
"2190",85781,2019-01-30,0,0,0,0,"female",1,"Private/1"
"2191",14032,2019-01-05,0,0,0,0,"female",2,"Private/1"
"2255",79054,2019-01-28,0,0,0,0,"female",1,"Private/0"
"2284",90690,2019-02-01,0,0,0,0,"female",2,"Private/2"
"2329",49966,2019-01-18,0,0,0,0,"female",2,"Private/0"
"2334",13222,2019-01-05,0,0,0,0,"female",1,"Private/2"
