"","studentid","surveydate","age","ehpw","hpw","hsleep","gpa","imp","gender","job","type","marital.status"
"1",57327,2018-04-01,24,24,16,6.29,46.35,5,"male","empl","par-time","single"
"2",231,2018-01-01,18,13,9,8.86,36.84,1,"female","empl","par-time","single"
"3",10474,2018-01-17,26,20,19,6.43,65.07,5,"male","unempl","full-time","divorced"
"4",8654,2018-01-14,20,19,11,7.71,33.87,2,"female","empl","par-time","single"
"5",80185,2018-05-07,27,19,21,6.29,65.52,2,"male","unempl","full-time","divorced"
"6",69894,2018-04-21,21,14,13,8.14,48.61,3,"female","empl","par-time","single"
"7",20300,2018-02-02,25,20,18,6.57,49.86,1,"male","empl","par-time","single"
"8",13202,2018-01-21,26,22,19,6.14,59.62,1,"male","unempl","full-time","divorced"
"9",86953,2018-05-18,22,22,14,6.86,44.57,1,"female","empl","par-time","single"
"10",71727,2018-04-24,21,21,13,7.14,37.56,1,"female","empl","par-time","single"
"11",33697,2018-02-23,22,28,14,6,38.34,4,"female","empl","par-time","single"
"12",13030,2018-01-21,24,17,16,7.29,58.18,5,"male","unempl","full-time","single"
"13",72249,2018-04-25,21,16,13,7.86,46.04,3,"female","empl","par-time","single"
"14",66040,2018-04-15,26,19,19,6.57,66.85,4,"male","unempl","full-time","divorced"
"15",76426,2018-05-01,22,19,14,7.29,50.3,5,"female","unempl","full-time","single"
"16",5537,2018-01-09,22,21,13,7.14,36.44,4,"female","empl","par-time","single"
"17",42407,2018-03-09,25,20,17,6.71,52.94,5,"male","unempl","full-time","single"
"18",76383,2018-05-01,20,22,11,7.29,29.1,1,"female","empl","par-time","single"
"19",33036,2018-02-22,24,24,16,6.29,47.76,3,"male","empl","par-time","single"
"20",34078,2018-02-23,26,17,18,7,63.72,1,"male","unempl","full-time","divorced"
"21",44586,2018-03-12,23,18,15,7.29,54.82,1,"male","unempl","full-time","single"
"22",6728,2018-01-11,26,25,19,5.71,48.05,5,"male","empl","par-time","divorced"
"23",58459,2018-04-03,21,24,12,6.86,39.95,3,"female","empl","par-time","single"
"24",1968,2018-01-04,17,19,8,8.14,27.2,3,"female","empl","par-time","single"
"25",35253,2018-02-25,18,24,8,7.43,21.91,5,"female","empl","par-time","single"
"26",12972,2018-01-21,21,17,13,7.71,44.11,1,"female","empl","par-time","single"
"27",78436,2018-05-04,16,22,7,7.86,28.85,3,"female","empl","par-time","single"
"28",21859,2018-02-04,16,18,7,8.43,26.47,1,"female","empl","par-time","single"
"29",42482,2018-03-09,24,19,5,8.57,17.19,2,"female","unempl","par-time","married"
"30",49335,2018-03-19,24,16,16,7.43,60.09,3,"male","unempl","full-time","single"
"31",35836,2018-02-26,21,24,17,6.14,55.87,1,"male","unempl","full-time","single"
"32",23762,2018-02-07,25,22,12,7.14,38.79,3,"female","empl","par-time","single"
"33",67770,2018-04-18,19,21,17,6.57,51.28,1,"male","unempl","full-time","single"
"34",36158,2018-02-27,22,27,10,6.71,19.17,2,"female","unempl","par-time","single"
"35",19393,2018-01-31,17,17,13,7.71,46.93,1,"female","empl","par-time","single"
"36",43212,2018-03-10,23,26,8,7.14,10.6,3,"female","unempl","par-time","married"
"37",57106,2018-04-01,22,25,15,6.29,42.64,3,"male","empl","par-time","single"
"38",2555,2018-01-05,26,21,13,7.14,34.8,4,"female","empl","par-time","married"
"39",74537,2018-04-28,20,21,6,8.14,11.6,4,"female","unempl","par-time","single"
"40",64390,2018-04-12,21,16,19,7,63.69,2,"male","unempl","full-time","single"
"41",49256,2018-03-19,30,19,4,8.71,12.59,2,"female","unempl","par-time","married"
"42",11437,2018-01-19,22,21,12,7.29,35.58,1,"female","empl","par-time","single"
"43",77582,2018-05-03,29,25,12,6.71,38.67,1,"female","empl","par-time","divorced"
"44",53883,2018-03-27,19,18,24,6,81.47,5,"male","unempl","full-time","single"
"45",30374,2018-02-18,26,16,14,7.71,42.11,3,"female","empl","par-time","divorced"
"46",36822,2018-02-28,21,18,23,6.14,86.15,5,"male","unempl","full-time","single"
"47",7275,2018-01-12,20,18,10,8,46.63,3,"female","empl","par-time","single"
"48",18336,2018-01-29,25,15,19,7.14,66.14,1,"male","unempl","full-time","single"
"49",8632,2018-01-14,25,22,3,8.43,8.06,1,"female","unempl","par-time","married"
"50",955,2018-01-02,25,24,12,6.86,36.34,4,"female","empl","par-time","single"
"51",31564,2018-02-19,26,17,11,8,47.89,1,"female","empl","par-time","divorced"
"52",93971,2018-05-29,18,22,18,6.29,57.99,5,"male","unempl","full-time","single"
"53",5088,2018-01-09,21,24,18,6,53.19,1,"male","unempl","full-time","single"
"54",49248,2018-03-19,19,19,18,6.71,55.9,3,"male","unempl","full-time","single"
"55",4470,2018-01-08,17,20,19,6.43,60.2,4,"male","unempl","full-time","single"
"56",65213,2018-04-14,27,19,9,8,36.63,5,"female","empl","par-time","divorced"
"57",2352,2018-01-04,21,18,13,7.57,42.24,5,"female","empl","par-time","single"
"58",22022,2018-02-04,28,24,9,7.29,16.72,2,"female","unempl","par-time","married"
"59",59570,2018-04-05,26,22,7,7.86,24.72,4,"female","empl","par-time","married"
"60",30881,2018-02-18,26,24,20,5.71,59.13,1,"male","unempl","full-time","divorced"
"61",64429,2018-04-12,23,14,13,8.14,60.36,3,"female","unempl","par-time","single"
"62",79586,2018-05-06,24,21,21,6,67.92,3,"male","unempl","full-time","single"
"63",30250,2018-02-17,30,20,19,6.43,63.41,1,"male","unempl","full-time","divorced"
"64",6963,2018-01-12,20,22,19,6.14,56.5,3,"male","unempl","full-time","single"
"65",65519,2018-04-14,25,23,15,6.57,50.63,5,"male","unempl","full-time","single"
"66",90786,2018-05-24,25,20,17,6.71,56.8,5,"male","unempl","full-time","single"
"67",17755,2018-01-29,27,18,24,6,78.82,1,"male","unempl","full-time","divorced"
"68",70746,2018-04-22,22,18,11,7.86,40.28,3,"female","empl","par-time","single"
"69",35547,2018-02-26,25,19,18,6.71,64.83,2,"male","unempl","full-time","single"
"70",29017,2018-02-15,23,21,17,6.57,62.56,4,"male","unempl","full-time","single"
"71",6790,2018-01-11,26,17,20,6.71,72.21,5,"male","unempl","full-time","divorced"
"72",65821,2018-04-15,20,20,14,7.14,47.23,1,"female","empl","par-time","single"
"73",52977,2018-03-25,29,19,17,6.86,59.69,4,"male","unempl","full-time","divorced"
"74",88769,2018-05-21,29,19,15,7.14,49.9,3,"male","empl","par-time","divorced"
"75",37258,2018-02-28,25,23,2,8.43,3.32,4,"female","unempl","par-time","married"
"76",4351,2018-01-07,21,16,19,7,71.15,2,"male","unempl","full-time","single"
"77",2893,2018-01-05,25,19,11,7.71,34.33,3,"female","empl","par-time","married"
"78",48353,2018-03-18,25,17,22,6.43,77.19,2,"male","unempl","full-time","single"
"79",76103,2018-05-01,22,19,22,6.14,62.63,4,"male","unempl","full-time","single"
"80",55518,2018-03-29,29,19,18,6.71,60.78,5,"male","unempl","full-time","divorced"
"81",1342,2018-01-03,19,18,13,7.57,50.04,1,"female","unempl","par-time","single"
"82",5254,2018-01-09,25,25,17,6,43.12,4,"male","empl","par-time","single"
"83",24692,2018-02-09,22,22,18,6.29,53.15,2,"male","unempl","full-time","single"
"84",94718,2018-05-30,18,24,14,6.57,43.2,4,"female","empl","par-time","single"
"85",27388,2018-02-13,23,26,23,5,67.46,5,"male","unempl","full-time","single"
"86",4926,2018-01-08,21,21,10,7.57,32.84,3,"female","empl","par-time","single"
"87",96237,2018-06-02,25,21,18,6.43,53.99,5,"male","unempl","full-time","single"
"88",67210,2018-04-17,26,18,13,7.57,42.78,3,"female","empl","par-time","divorced"
"89",43498,2018-03-10,19,21,8,7.86,12.98,1,"female","unempl","par-time","single"
"90",85408,2018-05-16,22,25,15,6.29,44.83,3,"male","empl","par-time","single"
"91",93494,2018-05-28,28,16,12,8,47.49,1,"female","empl","par-time","divorced"
"92",7938,2018-01-13,23,18,17,7,63.89,5,"male","unempl","full-time","single"
"93",14216,2018-01-23,21,21,19,6.29,63.21,1,"male","unempl","full-time","single"
"94",51433,2018-03-23,18,22,10,7.43,33.05,5,"female","empl","par-time","single"
"95",78763,2018-05-05,19,17,13,7.71,55.29,4,"female","unempl","par-time","single"
"96",87835,2018-05-19,22,19,22,6.14,71.41,2,"male","unempl","full-time","single"
"97",928,2018-01-02,24,21,15,6.86,48.17,4,"male","empl","par-time","single"
"98",1186,2018-01-02,27,17,13,7.71,49.7,5,"female","empl","par-time","divorced"
"99",29745,2018-02-17,23,19,8,8.14,32.61,2,"female","empl","par-time","married"
"100",45200,2018-03-13,30,16,10,8.29,37.86,3,"female","empl","par-time","divorced"
"101",23811,2018-02-07,26,23,14,6.71,39.24,2,"female","empl","par-time","divorced"
"102",7470,2018-01-12,23,17,16,7.29,55.06,3,"male","unempl","full-time","single"
"103",73153,2018-04-26,26,25,20,5.57,61.98,3,"male","unempl","full-time","divorced"
"104",68643,2018-04-19,25,19,15,7.14,45.01,1,"male","empl","par-time","single"
"105",72915,2018-04-26,26,21,23,5.71,67.69,4,"male","unempl","full-time","divorced"
"106",3055,2018-01-05,22,25,18,5.86,42.03,1,"male","empl","par-time","single"
"107",70522,2018-04-22,21,16,31,5.29,95.55,1,"male","unempl","full-time","single"
"108",91021,2018-05-24,17,16,15,7.57,50.56,3,"male","unempl","full-time","single"
"109",76359,2018-05-01,18,18,19,6.71,66.72,5,"male","unempl","full-time","single"
"110",26684,2018-02-12,17,21,18,6.43,64.32,5,"male","unempl","full-time","single"
"111",12782,2018-01-21,26,20,18,6.57,66.43,5,"male","unempl","full-time","divorced"
"112",55661,2018-03-30,28,17,14,7.57,51.43,5,"female","unempl","full-time","divorced"
"113",31489,2018-02-19,29,20,13,7.29,37.18,4,"female","empl","par-time","divorced"
